OTU	season	day	mean	adj.mean	variance	std	Kingdom	Phylum	Class	Order	Family	Genus
Otu110	Spring	33	0.000124	0.000124	0	5.90E-05	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Collinsella
Otu121	Spring	33	0	0.00000007	0	0	Bacteria(100)	Fusobacteria(100)	Fusobacteriia(100)	Fusobacteriales(100)	Leptotrichiaceae(100)	Streptobacillus
Otu121	Summer	33	0.000062	0.000062	0	6.20E-05	Bacteria(100)	Fusobacteria(100)	Fusobacteriia(100)	Fusobacteriales(100)	Leptotrichiaceae(100)	Streptobacillus
Otu125	Summer	33	0	0.00000007	0	0	Bacteria(100)	Planctomycetes(100)	Planctomycetia(100)	Planctomycetales(100)	Planctomycetaceae(100)	Planctomycetaceae unclass
Otu125	Spring	33	0.000073	0.000073	0	7.30E-05	Bacteria(100)	Planctomycetes(100)	Planctomycetia(100)	Planctomycetales(100)	Planctomycetaceae(100)	Planctomycetaceae unclass
Otu134	Spring	33	0.000007	0.000007	0	7.00E-06	Bacteria(100)	Elusimicrobia(100)	Elusimicrobia(100)	Elusimicrobiales(100)	Elusimicrobiaceae(100)	Elusimicrobium
Otu134	Summer	33	0.000142	0.000142	0	0.000142	Bacteria(100)	Elusimicrobia(100)	Elusimicrobia(100)	Elusimicrobiales(100)	Elusimicrobiaceae(100)	Elusimicrobium
Otu136	Spring	33	0	0.00000007	0	0	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Actinomycetales(100)	Streptomycetaceae(100)	Kitasatospora
Otu136	Summer	33	0.000071	0.000071	0	4.70E-05	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Actinomycetales(100)	Streptomycetaceae(100)	Kitasatospora
Otu165	Spring	33	0	0.00000007	0	0	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rhizobiales(100)	Bradyrhizobiaceae(100)	Bradyrhizobium
Otu165	Summer	33	0.000062	0.000062	0	6.20E-05	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rhizobiales(100)	Bradyrhizobiaceae(100)	Bradyrhizobium
