label	Group	nseqs	coverage	sobs	invsimpson	invsimpson_lci	invsimpson_hci	chao	chao_lci	chao_hci	ace	ace_lci	ace_hci	shannon	shannon_lci	shannon_hci
0.03	033384_JI25_S270	4890	0.994479	80	9.318893	8.986298	9.677054	107	90.490264	149.49301	114.156795	95.286237	156.322685	2.665864	2.630762	2.700967
0.03	033386_JI27_S272	4890	0.996319	68	7.077863	6.811525	7.365878	83.3	72.963289	115.164293	87.411447	75.351984	119.252052	2.490855	2.452149	2.529562
0.03	033387_JI28_S273	4890	0.995501	59	3.582289	3.431929	3.746429	92	70.377979	154.711195	107.216797	85.353193	147.219275	1.920853	1.87931	1.962395
0.03	033388_JI29_S274	4890	0.996115	59	7.249099	7.064865	7.443199	78	65.296022	116.337789	79.274623	66.991808	110.435209	2.286403	2.254359	2.318447
0.03	033389_JI30_S275	4890	0.994274	82	8.586305	8.244486	8.957694	104.235294	90.830859	137.986431	116.044377	97.499252	156.779066	2.664169	2.627451	2.700888
0.03	033391_JI33_S277	4890	0.997751	59	5.115722	4.891755	5.36118	64	60.215104	79.574366	66.632778	61.418548	83.08854	2.263085	2.22269	2.303481
0.03	033393_JI35_S279	4890	0.994888	79	10.849141	10.514286	11.206025	97.75	86.095286	128.54874	106.681524	90.98649	142.927536	2.75547	2.72248	2.78846
0.03	033394_JI36_S280	4890	0.995092	84	8.048541	7.76004	8.359323	100.235294	90.029735	127.714159	108.992207	95.330141	139.128208	2.567942	2.530177	2.605706
0.03	033395_JI37_S281	4890	0.994479	78	6.858111	6.612218	7.122999	101.4	87.137017	137.927654	108.05166	91.680618	144.013262	2.394967	2.357741	2.432193
0.03	033396_JI38_S282	4890	0.995297	65	6.048746	5.830298	6.284202	93.111111	75.061695	143.53891	112.676372	91.5311	150.674417	2.261826	2.225511	2.298141
